List1_Name,List2_Name,Combined_Similarity,JW_Similarity,Token_Similarity
TPO Agency,TPO Agency,1,1,1
Bluecrux,Bluecrux,1,1,1
Biztory,Biztory,1,1,1
IMPACT,IMPACT,1,1,1
Ici Paris XL,Ici Paris XL,1,1,1
Sea Tank Terminal,Sea Tank Terminal,1,1,1
Axilium,Axilium,1,1,1
Credon,Credon,1,1,1
Brussels Airport Company,Brussels Airport Company,1,1,1
Monin-it,Monin-it,1,1,1
Novartis,Novartis,1,1,1
SD Worx,SD Worx,1,1,1
Grand Vision Belgium,Grand Vision Belgium,1,1,1
iBanFirst,iBanFirst,1,1,1
Smulders,Smulders,1,1,1
Azelis,Azelis,1,1,1
Unit-T,Unit-T,1,1,1
AZ Herentals,AZ Herentals,1,1,1
Manuchar,Manuchar,1,1,1
Digipolitans,Digipolitans,1,1,1
Advipro,Advipro,1,1,1
Recruitment Architects,Recruitment Architects,1,1,1
Aertssen,Aertssen,1,1,1
Option Media,Option Media,1,1,1
HH Global,HH Global,1,1,1
Xylos,Xylos NV,1,1,1
Antenno,Antenno,1,1,1
Hansea,Hansea,1,1,1
Multi Engineering,Multi Engineering,1,1,1
Van Laere,Van Laere,1,1,1
Plainsight,Plainsight,1,1,1
CESI-Preventie & Bescherming,CESI-Preventie & Bescherming,1,1,1
Companions,Companions,1,1,1
Optimile,Optimile,1,1,1
AG Solution,AG Solution,1,1,1
Proximus,Proximus,1,1,1
Cheops Technology,Cheops,1,1,1
Ufinity,Ufinity,1,1,1
Colruyt Group,Colruyt Group,1,1,1
Tabaknatie,Tabaknatie,1,1,1
Mediahuis NV,Mediahuis,1,1,1
Vanbreda Risk & Benefits,Vanbreda Risk & Benefits,1,1,1
Xtra Works,Xtra Works,1,1,1
Stadim,Stadim,1,1,1
Umami Catering,Umami Catering,1,1,1
Amista,Amista,1,1,1
Savaco NV,Savaco,1,1,1
Resilient Business BV,Resilient Business BV,1,1,1
Bluu,Bluu,1,1,1
Remant Transport Architects,Remant Transport Architects,1,1,1
Lemon,Lemon,1,1,1
Agiliz NV,Agiliz NV,1,1,1
Beauty Inn BV,Beauty Inn BV,1,1,1
Coca-Cola,Coca-Cola,1,1,1
BENTON,BENTON,1,1,1
Jobat,Jobat,1,1,1
On IT BV,On IT BV,1,1,1
Mylan EPD BV,Mylan EPD BV,1,1,1
Trifinance,TriFinance,1,1,1
Baltimore Aircoil International,Baltimore Aircoil International,1,1,1
Bank Van Breda,Bank Van Breda,1,1,1
Vlinvesta NV,Vlinvesta NV,1,1,1
Unilin,Unilin,1,1,1
Enersee,Enersee,1,1,1
Conway,Conway,1,1,1
The Harbour,The Harbour,1,1,1
Carglass NV,Carglass,1,1,1
Cordeel Group,Cordeel Group,1,1,1
Solix Search,Solix Search,1,1,1
YAASS!,YAASS!,1,1,1
Anthony Cranes,Anthony Cranes,1,1,1
DC Dredging,DC Dredging,1,1,1
Banijay Belgium,Banijay Belgium,1,1,1
Brand Quadergy,Brand Quadergy,1,1,1
Collectief,Collectief,1,1,1
Hyperion,Hyperion,1,1,1
Allen & Overy,Allen & Overy,1,1,1
Resengo,Resengo,1,1,1
Bubka,Bubka,1,1,1
Trixolutions,Trixolutions,1,1,1
Insilencio,Insilencio,1,1,1
AB Inbev,AB Inbev,1,1,1
Investr,Investr,1,1,1
Upthrust,Upthrust,1,1,1
GIMV,GIMV,1,1,1
Kunnig,Kunnig,1,1,1
Bank Degroof,Bank DeGroof,1,1,1
